,Title,Categories,Tags,Replies,Post,Comment
0,[README] Learn CSS,"Get Help,CSS",,2,"
Welcome to Learn CSS

CSS is the primary language that provides style to HTML webpages. This forum category covers broader discussion about CSS related topics.
This course contains the following Sections/Lessons:

Learn CSS: Selectors and Visual Rules

CSS Setup and Selectors
CSS Visual Rules


Learn CSS: The Box Model

The Box Model
Changing the Box Model


Display and Positioning

CSS Display and Positioning


Learn CSS: Colors

CSS Color


Learn CSS: Typography

CSS Typography


Learn CSS: Grid

CSS Grid Essentials
Advanced CSS Grid




Topics in this course, By section:

Selectors and Visual Rules
The Box Model
Display and Positioning
Colors
Typography
Grid

Projects in CSS

All Project topics belong in the category #project
Sort By:

Broadway

Task Board
Just to mention a few


FAQ’s
View all
Q & A’s regarding to CSS
View all
More resources from Codecademy
Module Key Concepts

Selectors and Visual Rules
The Box Model
Display and Positioning
Colors
Typography
Grid

Articles:

CSS Glossary
CSS3 Features

The Box Model in DevTools Video: The Box Model in Devtools


","
"
1,Finished tea cozy project,"Get Help,CSS",display-positioning,1,"
I have finished the tea cozy project and want to know how I could improve it. I have notice that when I press the nav links it doesn’t show all of the contents in the specific containers, is there a way to fix this? I am also not completely understanding the media query part. Can anyone help?
<!DOCTYPE html>
<html lang=""en"" dir=""ltr"">
  <head>
    <meta charset=""utf-8"">
    <title>Tea Cozy</title>
    <link href=""./css/styles.css"" type=""text/css"" rel=""stylesheet"">
  </head>
  <body>
    <header>
      <img src=""./images/tea-cozy-logo.png"" alt=""Tea Cozy logo"">
      <nav>
        <ul>
          <li><a href=""#mission"">Mission</a></li>
          <li><a href=""#featured-tea"">Featured Tea</a></li>
          <li><a href=""#locations"">Locations</a></li>
        </ul>
      </nav>
    </header>
    <main>
      <section id=""mission"">
        <div class=""mission-statement"">
          <h2>Our Mission</h2>
          <h4>Handpicked, Artisanally Curated, Free Range, Sustainable, Small Batch, Fair</h4>
        </div>
      </section>
      <section id=""featured-tea"">
          <h2>Tea of the Month</h2>
          <h4>What's Steeping at The Tea Cozy?</h4>
          <figure>
            <img src=""./images/berryblitz.jpg"" alt="""">
            <figcaption>Fall Berry Blitz Tea</figcaption>
          </figure>
          <figure>
            <img src=""./images/spiced-rum.jpg"" alt="""">
            <figcaption>Spiced Rum Tea</figcaption>
          </figure>
          <figure>
            <img src=""./images/donut.jpg"" alt="""">
            <figcaption>Seasonal Donuts</figcaption>
          </figure>
          <figure>
            <img src=""./images/myrtle-ave.jpg"" alt="""">
            <figcaption>Myrtle Ave Tea</figcaption>
          </figure>
          <figure>
            <img src=""./images/bedford-bizarre.jpg"" alt="""">
            <figcaption>Bedford Bizarre Tea</figcaption>
          </figure>
      </section>
      <section id=""locations"">
          <h2> Locations</h2>
          <div class=""address"">
            <h3>Downtown</h3>
            <p>384 West 4th St<br><br> Suite 108<br><br>Portland, Maine<p>
            </div>
            <div class=""address"">
              <h3>East Bayside</h3>
              <p>3433 Phisherman's Avenue<br><br>(Northwest Corner)<br><br>Portland, Maine<p>
              </div>
              <div class=""address"">
                <h3>East Oakdale</h3>
                <p>515 Crescent Avenue<br><br>Second Floor<br><br>Portland, Maine<p>
              </div>
      </section>
      <section class=""contact"">
        <h2>The Tea Cozy<h2>
          <h5>contact@theteacozy.com</h5>
          <h5>917-555-8904<h5>
      </section>
    </main>
    <footer><h6>copyright The Tea Cozy 2017</h6></footer>
  </body>
</html>


html, body {
  background-color: #000;
  font-family: Helvetica;
  font-size: 22px;
  color: seashell;
  text-align: center;
  opacity: 0.9;
}
/*header*/
header {
  width: 100%;
  height: 3.13rem;
  background-color: #000;
  display: flex;
  justify-content: space-between;
  border-bottom: 0.04rem solid seashell;
  position: fixed;
  top: 0;
  z-index: 1;
}
nav li {
  display: inline-flex;

}
li a {
  color: seashell;
  text-decoration: underline;
  margin: 0 1rem;
}
header img {
  height: 2.27rem;
  width: auto;
  margin-left: 0.46rem;
  margin-top: 0.68rem;
}
/*main*/
main {
  width: 100%;
  height: auto;
  margin-top: 3.18rem;
  display:flex;
  flex-direction: column;
  align-items: center;
}
h2, h4 {
  margin: 0.68rem 0;
}
/*mission*/
#mission {
  width: 54.54rem;
  height: 31.8rem;
  display: inline-flex;
  justify-content: center;
  align-items: center;
  background-image: url(""../images/mission-background.jpg"");
  background-repeat: no-repeat;
  background-position: 0 0.9rem;
  background-size: cover;
}
.mission-statement{
  background-color: #000;
  width: 54.54rem;
  height: auto;
}
/*featured tea*/
#featured-tea {
  width: 45.45rem;
  height: auto;
  margin-top: 3.18rem;
}
figure{
  display: inline-flex;
  flex-direction: column;
  margin-right: 0.68rem;
  margin-left: 0.40rem;
}
figure img {
  width: 13.62rem;
  height: 9.09rem;
}
figcaption{
  margin-top: 0.46rem;
}
/*locations*/
#locations {
  width: 54.54rem;
  height: 22.72rem;
  margin-top: 3.18rem;
  background-image: url(""../images/locations-background.jpg"");
  background-repeat: no-repeat;
  background-position: 0 -3.18rem;
  background-size: cover;
}
.address {
  width: 13.62rem;
  height: auto;
  display: inline-flex;
  flex-direction: column ;
  margin-right: 1.8rem;
  background-color: #000;
}
.contact{
  height: 9.09rem;
  width: auto;
}
footer {
  text-align: left;
  margin-left: 0.9rem;
}


",
2,Fake Company Project,"Get Help,CSS","display-positioning,general",2,"
Hello , can somebody help me out here with the advice where to look for the solution. I know something is not right with my flexbox, but can’t see the problem or where i have to correct. If i resize the screen my 3 images from the container get out and overflow other contents.
This is the CSS part:
.team {
height: 500px;

display: flex;

background-image: url(""..//image//business2.jpg"");

background-size: cover;

background-position: center;

background-repeat: no-repeat;

justify-content: center;

flex-wrap: wrap;

text-align: center;

align-content: center;   

}
#team-container h2 {
text-align: center;

font-size: 2rem;

font-family: ""Lexend Mega"" , sans-serif;

}
.teammate{
display: block;

flex-basis: 280px; 

flex-shrink: 1;

}
.teammate img {
width: 200px;

height: 250px;

align-items: center;

}
And this is the HTML:

    <h2>Our Team</h2>

    <div class=""team"">

        <div class=""teammate"">

            <img src="".\\resources\\image\\employee1.jpg"">

            <h3>Lisa Fischer</h3>

            <p>C.E.O. - Founder and Principal Investor</p>

        </div>

        <div class=""teammate"">

            <img src="".\\resources\\image\\employee2.jpg"">

            <h3>Alex Lasker</h3>

            <p>Partner - Research & Development</p>

        </div>

        <div class=""teammate"">

            <img src="".\\resources\\image\\employee3.jpg"">

            <h3>Omar Carlsen</h3>

            <p>Partner - Partnerships & Marketing</p>

        </div>

    </div>

 </div>

Of course this is not all but the relevant part! Shed a little light on me please. Thank you

","
I found a solution ,just now 
I added in the .team selector a min-height instead of height and also put a top padding so it looks nicer.
But I am still curious what other solutions are there, and how messy is my code. Thank You!
"
3,"Can't find ""Computed"" tab in the Google Chrome DevTools box-model dimension to view and edit","Get Help,CSS",box-model,5,"
Hello,
I am not seeing the “computed” tab in the Google Chrome Devtool’s box-model dimension to view and edit.
When I use right-click inspect to open up the DevTools, I don’t see the “computed” tab.
Screen Shot 2020-07-28 at 3.52.27 PM1714×938 212 KB
When you ask a question, don’t forget to include a link to the exercise or project you’re dealing with!
If you want to have the best chances of getting a useful answer quickly, make sure you follow our guidelines about how to ask a good question.  That way you’ll be helping everyone – helping people to answer your question and helping others who are stuck to find the question and answer! 
","
What version of Chrome do you have?
I found this at SO:
https://stackoverflow.com/questions/55199167/why-does-chrome-dev-tools-not-show-computed-tab
I think you have to change the panel layout in dev tools–preferences (the little ellipses at top right)

Screen Shot 2020-07-28 at 4.06.44 PM1074×746 57.1 KB
and then you see it:
Screen Shot 2020-07-28 at 4.08.29 PM1104×1076 161 KB

Mine doesn’t have the Show What’s New after each update box 
Screen Shot 2020-07-28 at 5.49.14 PM1524×938 56.1 KB

on the second screenshot that I posted above (you’re in dev tools), click on the vertical ellipses, “Customize and control dev tools.” which is in the upper right corner, next to the gear.
then, click on ""more tools > settings>>panel layout then select “vertical.” the default is “auto” i think.
"
4,Responsive images,"Get Help,CSS",general,2,"
a bit confused here…
i have found multiple instructions for responsive images
from codecademy
.container {
width: 50%;
height: 200px;
overflow: hidden;
}
.container img {
max-width: 100%;
height: auto;
display: block;
}
a media query using min-width and max-width
or
<img src=“sample.jpg” width=“100” height=“200”
or
img {width: 100%; max-width 100%; height : auto;
}
i know that last one is similar to the first, but coded differently
ultimately i am after the best way to code images responsively
any thing and everything is welcome!
many thanks!
","
Hi,
The best way is often defined by context (hence, all the different ways  ).
The media queries will basically let you target how your image should look in different devices (you can use the browser tools to simulate what phones and tables see… access with right-click, inspect-element, and find the phone button).
Setting a percentage width is useful but there are some contexts where you wouldn’t use it (again, depending on what you’re doing).
The best way to get a good sense of how they are useful is by trying to make sample websites and try really strictly to get a layout you want in each mode (desktop, tablet, tablet-rotated, mobile, mobile-rotated).
"
5,The first/last/only/nth-child selector,"Get Help,CSS",general,3,"
Trying to understand the role of the space between an element and the colon that’s part of the pseudo-selector.
p: first-child
Selects all p elements that are the first child of some parent element.
p:first-child
Selects all first child elements that are nested under p.
Two questions:

Is that correct?
Does that apply to all the pseudo-selectors (first/last/only/nth)

","
Hey there @roisql 



 roisql:

Is that correct?


Not entirely, but your close.
p:first-child selects every <p> element that is the first child nested under it’s parent element:
p:first-child {
  color: green
}

<div>
  <p> I will be green, I am the first child </p>
  <p> I won't be green, I am not the first child </p>
</div>

<div>
  <p> I will also be green, I am the first child of MY parent </p>
  <p> I am not the first child of my parent </p>
</div>

<div>
  <h1> Not green. Though I am a first child I am not a p element </h1>
  <p> I will not be green, I am not the first child </p>
<div>





 roisql:

p: first-child


I am guessing you meant p :first-child 
I don’t believe p: first-child is a valid selector.
If you have the selector p :first-child, than the first child of every <p> element will be selected:
<p> This text is not selected 
  <span> Though this is </span> 
  <span> yet this is not </span>
</p>


Not all pseudo selectors work exactly like this, for example p :hover does nothing.
However if you combine multiple selectors you can get some interesting results.
For example:
p :first-child:hover {
  color: green;
}

This will make the first child of every <p> element turn green when it is hovered over.
I would say the best way to learn about them is to experiment with them your self.

Thank you! That was very helpful.
"
6,Help with Grid positioning,"Get Help,CSS",learn-grid,1,"
Hi guys, just wondering if anyone knows where I am going wrong. I was trying to practise grid positioning with my own exercise (I am currently finishing Learn CSS), but cannot find an answer to my problem. I am looking to position a piece of text on different parts of a grid that I have constructed, but it won’t move from the top left hand corner of my ‘main’ area. I have included the code and the output. Any help would be great. Thanks. Grids31680×1050 97.7 KB
If you want to have the best chances of getting a useful answer quickly, make sure you follow our guidelines about how to ask a good question.  That way you’ll be helping everyone – helping people to answer your question and helping others who are stuck to find the question and answer! 
",
7,"Can I add text, centered, and on top of an image in CSS grid?","Get Help,CSS","learn-grid,general",2,"
I have an image in my CSS grid, but I want to align text on top, and in the center, of the image in my grid. I don’t know how to do it without manually changing the position of the element.
My HTML:
<!DOCTYPE html>

<html>

<head>

  <title>Grid Stuff</title>

  <link rel=""stylesheet"" type=""text/css"" href=""Perfect layout.css"" />

  <link rel=""stylesheet"" type=""text/css"" href=""master.css"" />

</head>

<body>

  <div class=""container"">

    <header>

    <ul>

      <li><h3 id=""logo"">Dinno Optical</h3></li>

      <li><h3>Home</h3></li>

      <li><h3>Book an Appointment!</h3></li>

      <li><a target=""_blank"" href=""About Us.html""><h3>Offers</h3></a></li> 

      <li><a target=""_blank"" href=""About Us.html""><h3>About Us</h3></a></li> 

    </ul>

    </header>

    

    <nav>

      <img src=""./pictures/marcos-paulo-prado-6OEnQsKQQ8c-unsplash.jpg"" alt=""Mountains"" style=""width:100%"">

      <img id=""doug"" src=""pictures/carlos-vaz-KP4bxnxAilU-unsplash.jpg"" alt=""Forest"" style=""width:100%"">

      <img id=""bob"" src=""./pictures/scott-van-daalen-UsALNdok2m4-unsplash.jpg"" alt=""Forest"" style=""width:100%"">

      <img id=""smile"" src=""./pictures/susan-duran-LHaqQkG_mgQ-unsplash.jpg"" alt=""Forest"" style=""width:100%"">

    </nav>

    <section class=""left"">

      <h2>Left</h2>

      

    </section>

    <div class=""overlap"">

      <a target=""_blank"" href=""About Us.html""><h3 style=""color: white"">Offerings!</h3></a>

    </div>

    <section class=""right"">

      <h2>Google Reviews</h2>

      <h2><img src=""./pictures/Fahad 1.jpeg"" alt=""pic"">Sami Dinno</h2>

          <h3>Lorem ipsum dolor sit, amet consectetur adipisicing elit. Distinctio, ipsam? </h3>

      <h2><img src=""./pictures/Fahad 1.jpeg"" alt=""pic"">Sami Dinno</h2>

          <h3>Lorem ipsum dolor sit, amet consectetur adipisicing elit. Distinctio, ipsam? </h3>

      <h2><img src=""./pictures/Fahad 1.jpeg"" alt=""pic"">Sami Dinno</h2>

      <h3>Lorem ipsum dolor sit, amet consectetur adipisicing elit. Distinctio, ipsam? </h3>

      <h2><img src=""./pictures/Fahad 1.jpeg"" alt=""pic"">Sami Dinno</h2>

      <h3>Lorem ipsum dolor sit, amet consectetur adipisicing elit. Distinctio, ipsam? </h3>

    </section>

    <footer>

      <h1>Footer</h1>

      <h1>Book with us today!</h1>

      <h2>(905) 497-4600<br>dinnooptical@gmail.com<br>

        147 Clarance st. Unit 33, Brampton, ON <br>

        <a target=""_blank"" href=""https://www.google.com/maps/place/Dinno+Optical/@43.6890343,-79.7423311,19z/data=!3m1!4b1!4m5!3m4!1s0x0:0x7e89e0c7fd01ef67!8m2!3d43.6890333!4d-79.7417838?hl=en-US""><img src=""./pictures/Google maps copy.png""></a></td>

      </h2>

    </footer>

  </div>

</body>

</html>

My CSS:
/*

  - Color of links don't change--only the link decoration does. 

  - transformIn animation didn't work. 

  

*/

.container {

    display: grid;

    max-width: 900px;

    position: relative;

    margin: auto;

    grid-gap: 10px;

    grid-template: minmax(50px, 300px) repeat(12, 1fr) / repeat(6, 1fr);

  }

  

  h1, h2, h3 {

    font-family: monospace;

    text-align: center;

  }

  #logo {

    font-size: 40px;

  }

  li {

    margin: 0 auto;

    padding: 0px;

    display: block;

    line-height: 10px;

    color: white;

  }

  header {

    background-color: #06cece8F;

    grid-area: 1 / 1 / 1 / 7;

    position: sticky;

    top: 0px;

  }

  

  nav {

    background-color: beige;

    grid-area: 3 / 1 / 2 / 7;

  }

  

  .left {

    background-color: dodgerblue;

    grid-area: 3 / 1 / 3 / 5;

  }

  

  .right {

    background-color: beige;

      grid-area: 3 / 5 / 3 / 7;

  }

  nav img{

    width: 50%;

    text-align: center;

  }

  .right img {

    width: 10%;

    display: inline-block;

  }

  

  .overlap {

    background-color: #f87557;

    color: white;

    grid-area: 6 / 4 / 8 / 6;

    z-index: 5;

    position: fixed;

    font-size: 30px;

    opacity: 0.9;

  }

  

  .overlap :hover {

    color: #57DBF8;

    transition: color;

  } 

  footer {

    background-color: dodgerblue;

    grid-area: 4 / 1 / 4 / 7;

  }

","
You can try making the image the background of a tag and then you can control elements on top of it.
Or use an image editor (but then you lose responsiveness in smaller screens, unless you make x images for every x type of view you need).
"
8,Tea Cozy,"Get Help,CSS",general,5,"
) I am trying to load the background image in to my css for the tea cozy project but it doesn’t appear. I have tried double quotes single quotes and no quotes at all. I have even gone back and looked at other projects that worked fine and wrote it the same way but still nothing. It seems to work in my html but not css. What am I doing wrong?
Image 7-23-20 at 3.00 PM1439×900 95.5 KB Screen Shot 2020-07-23 at 1.56.35 PM (2)1920×1080 128 KB
","
I wonder if the path for the url is supposed to be url(""path.jpg"") instead of url(path.jpg)

I tried that it didn’t work.

Try images/mission-background.jpg without the two dots in front and the forward slash.

I finally got it. It wasn’t appearing because it had to many periods. I think you only use two periods if the css is in a separate folder from the rest of the project.
"
9,Website doesn't load properly in internet explorer,"Get Help,CSS",general,3,"
Everything works properly in literally every  other browser but Internet Explorer. All the colors aren’t loading properly.
","
Welcome to internet explorer.
IE has a lot of things that it’s not compatible with so you have to check what you’re using against a list of IE compatibility if you want your website to be accessible from IE.
There are even ways to filter CSS if the browser is using IE.
You should probably search discussions for more info on this, one link: https://stackoverflow.com/questions/10122296/making-a-webpage-cross-browser-compatible

ill keep trying thanks
"
