,Title,Categories,Tags,Replies,Post,Comment
0,[README] Learn the Watson API,"Get Help,IBM Watson",,2,"
Welcome to Learn the Watson API Pro

Watson is a powerful question answering computer system built by IBM that is capable of answering questions posed in natural language. It is possible for anyone to harness the potential of IBM Watson through its API – this forum category covers broader discussion about IBM Watson related topics.
This course contains the following Sections/Lessons:

Introduction to Bluemix and Watson

A Watson-Powered Application


PIP: The Python Package Manager

Using PIP


Retrieving Content from Twitter

Using the Twitter API


Configuring Personality Insights

Using the Personality Insights API


Final Analysis

Gaining Insights




Topics in this course, By section:

Introduction to Bluemix and Watson
PIP: The Python Package Manager
Retrieving Content from Twitter
Configuring Personality Insights
Final Analysis

FAQ’s
View all
Q & A’s
View all
More resources from Codecademy
Module Key Concepts

Introduction to Bluemix and Watson
PIP: The Python Package Manager
Retrieving Content from Twitter
Configuring Personality Insights
Final Analysis

Articles:

coming soon

","
"
1,"When saving a visualization figure into png on IBM Watson, where is it really saved?","Get Help,IBM Watson",retrieving-content,1,"
I am preparing slides for my data visualization project on IBM Watson. When trying to save each figure into a png file, I use the following code:
plt.savefig(“filename.png”)
Where can I find now these png files? Where are they physically saved in the cloud?
Many thanks in advance!
",
2,Analyzer is not working,"Get Help,IBM Watson",,1,"
For a start, I can’t seem to navigate the IBM cloud to see the username and password in the credentials. When I create an instance I receive an api key and url.
Either way I get the following message:
TypeError: init() takes at least 2 arguments (3 given)
was anyone able to run this code successfully?
",
3,Indentation Error,"Get Help,IBM Watson",,4,"
Getting the following error in Exercise 7/8 in Lesson : Sorting and Outputting results.
File “CelebrityMatch.py”, line 19
text = “”
^
IndentationError: unindent does not match any outer indentation level
","
We will need a little more to go on besides just the error message. Please post a link to the exercise as well as your code.

Hello,
Thanks for replying.
Link to exercise
Code:
import sys
import operator
import requests
import json
import twitter
from watson_developer_cloud import PersonalityInsightsV2 as PersonalityInsights

def analyze(handle):

	twitter_consumer_key = ''  
	twitter_consumer_secret = ''  
	twitter_access_token = ''  
	twitter_access_secret = ''

	twitter_api = twitter.Api(consumer_key=twitter_consumer_key, consumer_secret=twitter_consumer_secret, access_token_key=twitter_access_token, access_token_secret=twitter_access_secret)

	statuses = twitter_api.GetUserTimeline(screen_name=handle,count=200, include_rts=False)
  text = ''
  for status in statuses:
    if (status.lang =='en'):
      text += status.text.encode('utf-8')

	#The IBM Bluemix credentials for Personality Insights!
	pi_username = '08ead2a5-124a-4f29-972d-3f80fb60c62f'
	pi_password = 'dOTPgPlPeJo4'

	personality_insights = PersonalityInsights(username=pi_username, password=pi_password)
	pi_result = personality_insights.profile(text)

	return pi_result

def flatten(orig):
    data = {}
    for c in orig['tree']['children']:
        if 'children' in c:
            for c2 in c['children']:
                if 'children' in c2:
                    for c3 in c2['children']:
                        if 'children' in c3:
                            for c4 in c3['children']:
                                if (c4['category'] == 'personality'):
                                    data[c4['id']] = c4['percentage']
                                    if 'children' not in c3:
                                        if (c3['category'] == 'personality'):
                                                data[c3['id']] = c3['percentage']
    return data
  
  
  
def compare(dict1, dict2):
    compared_data = {}
    for keys in dict1:
        if dict1[keys] != dict2[keys]:
                compared_data[keys]=abs(dict1[keys] - dict2[keys])
    return compared_data 
  
  
user_handle = ""@Codecademy""
celebrity_handle = ""@IBM""

user_result = analyze(user_handle)
celebrity_result = analyze(celebrity_handle)  

#First, flatten the results from the Watson PI API
user = flatten(user_result)
celebrity = flatten(celebrity_result)

#Then, compare the results of the Watson PI API by calculating the distance between traits
compared_results = compare(user,celebrity)


sorted_result = sorted(compared_results.items(), key=operator.itemgetter(1))

for keys, value in sorted_result[:5]:
    print keys,
    print(user[keys]),
    print ('->'),
    print (celebrity[keys]),
    print ('->'),
    print (compared_results[keys])


sorted_result = sorted(compared_results.items(), key=operator.itemgetter(1))

for keys, value in sorted_result[:5]:
    print keys,
    print(user[keys]),
    print ('->'),
    print (celebrity[keys]),
    print ('->'),
    print (compared_results[keys])


This topic was automatically closed 7 days after the last reply. New replies are no longer allowed.
"
4,NameError: name 'handle' is not defined,"Get Help,IBM Watson",,2,"
When I run the codes on “Sorting and Outputting the Results” getting this error and don’t know how to resolve this:
Traceback (most recent call last):
File “CelebrityMatch.py”, line 16, in 
statuses = twitter_api.GetUserTimeline(screen_name=handle, count=200, include_rts=False)
NameError: name ‘handle’ is not defined
","
This topic was automatically closed 7 days after the last reply. New replies are no longer allowed.
"
5,Ascii' codec can't encode character u'\u2019' in position 1: ordinal not in range(128),"Get Help,IBM Watson",,3,"
Hi, got this strange error in “Understanding Twitter Results II”:
@omgleil find Harlem bad tweets about Nicki and get him out of here!
Barbies reporting their own kind… WOW.
THEY GOT OUR FAVORITE ■■■■■ WOW https://t.co/asBB1znonc
@TheShawnyboy HAPPY BIRTHDAY ■■■■■, WHEN I COME TO MEMPHIS WE GETTING LIT?
@IGoByAlice WHAT DID HE DONJEJKWWISIA
Traceback (most recent call last):
File “CelebrityMatch.py”, line 20, in 
print status.text
UnicodeEncodeError: ‘ascii’ codec can’t encode character u’\u2019’ in position 1: ordinal not in range(128)

Code:
import sys
import operator
import requests
import json
import twitter
from watson_developer_cloud import PersonalityInsightsV2 as PersonalityInsights
twitter_consumer_key =
twitter_consumer_secret =
twitter_access_token =
twitter_access_secret =
twitter_api = twitter.Api(consumer_key=twitter_consumer_key, consumer_secret=twitter_consumer_secret, access_token_key=twitter_access_token, access_token_secret=twitter_access_secret)
handle = “@badgalriri”
statuses = twitter_api.GetUserTimeline(screen_name=handle, count=200, include_rts=False)
for status in statuses:
print status.text
","
Try this.
for status in statuses:
print status.text.encode(“utf-8”)
python2.7 unicode handling 

This topic was automatically closed 7 days after the last reply. New replies are no longer allowed.
"
6,Error: name 'operator' is not defined,"Get Help,IBM Watson",,2,"
Hi,
I am receiving the following error:
Traceback (most recent call last):
File “CelebrityMatch.py”, line 70, in 
sorted_result = sorted(compared_results.items(), key=operator.itemgetter(1))
NameError: name ‘operator’ is not defined
Please help.
Here is my code without the twitter and PI credentials:
def analyze(handle):
import sys
import operator
import requests
import json
import twitter
from watson_developer_cloud import PersonalityInsightsV2 as PersonalityInsights
twitter_consumer_key = ''
twitter_consumer_secret = ''
twitter_access_token = ''
twitter_access_secret = ''

twitter_api=twitter.Api(consumer_key=twitter_consumer_key,
                         consumer_secret=twitter_consumer_secret,
                         access_token_key=twitter_access_token,
                         access_token_secret=twitter_access_secret)

statuses = twitter_api.GetUserTimeline(screen_name=handle, count=200, include_rts=False)

text = """"

for status in statuses: 
  if (status.lang == 'en'):
    text += status.text.encode('utf-8')

#The IBM Bluemix credentials for Personality Insights
pi_username = ''
pi_password = ''

personality_insights = PersonalityInsights(username=pi_username, password=pi_password)

pi_result = personality_insights.profile(text)
return pi_result

def flatten(orig):
data = {}
for c in orig[‘tree’][‘children’]:
if ‘children’ in c:
for c2 in c[‘children’]:
if ‘children’ in c2:
for c3 in c2[‘children’]:
if ‘children’ in c3:
for c4 in c3[‘children’]:
if (c4[‘category’] == ‘personality’):
data[c4[‘id’]] = c4[‘percentage’]
if ‘children’ not in c3:
if (c3[‘category’] == ‘personality’):
data[c3[‘id’]] = c3[‘percentage’]
return data
def compare(dict1, dict2):
compared_data = {}
for keys in dict1:
if dict1[keys] != dict2[keys]:
compared_data[keys]=abs(dict1[keys] - dict2[keys])
return compared_data
user_handle= “@SeFranzi”
celebrity_handle= “@IBM”
user_result = analyze(user_handle)
celebrity_result = analyze(celebrity_handle)
user= flatten(user_result)
celebrity= flatten(celebrity_result)
compared_results= compare(user, celebrity)
sorted_result = sorted(compared_results.items(), key=operator.itemgetter(1))
for keys, value in sorted_result[:5]:
print keys,
print(user[keys]),
print (’->’),
print (celebrity[keys]),
print (’->’),
print (compared_results[keys])
","
This topic was automatically closed 7 days after the last reply. New replies are no longer allowed.
"
7,I have got an error on exercise 7/8,"Get Help,IBM Watson",,2,"
I have done everything as told but I get error something like this,
watson_developer_cloud.watson_developer_cloud_service.WatsonException: Unauthorized: Access is denied due to invalid credentials
I checked all my credentials, and it is correct. Please help!
If you want to check my code,
import sys
import operator
import requests
import json
import twitter
from watson_developer_cloud import PersonalityInsightsV2 as PersonalityInsights

def analyze(handle):
    twitter_consumer_key = 'bpX1ANOf58u8NVgRvQXdzXU4N'
    twitter_consumer_secret = '7Vvw6AHd8xwRLOVPF2OuX3IoTp8fSv5IVxvTdFjerC4aYlZ5wy'
    twitter_access_token = '882381265-zCXkJtzHpzATrjecdlX3F5NNpT6pNeKbfWrXzyxf'
    twitter_access_secret = 'TNJy7sKDkCxJKIulZonNgmT6Hfa1mKpPzVfM0AirBTz1f'

    twitter_api = twitter.Api(consumer_key = twitter_consumer_key, 
                            consumer_secret =         twitter_consumer_secret,
                            access_token_key = twitter_access_token,
                            access_token_secret = twitter_access_secret)

    #handle = ""@tim_cook""
    statuses = twitter_api.GetUserTimeline(screen_name = handle, count = 200, include_rts = False)

    text = """"
    for status in statuses:
        if(status.lang == 'en'):
            text += status.text.encode('utf-8')
        
    # IBM Watson Personality Insights credentials...
    pi_username = 'd8527f4c-031e-4723-92b3-a4a4a3853d91'
    pi_password = 'idtW2FZ6ksRY'

    personality_insights = PersonalityInsights(username = pi_username,
                                           password = pi_password)
    pi_result = personality_insights.profile(text)

    return pi_result

def flatten(orig):
    data = {}
    for c in orig['tree']['children']:
        if 'children' in c:
            for c2 in c['children']:
                if 'children' in c2:
                    for c3 in c2['children']:
                        if 'children' in c3:
                            for c4 in c3['childen']:
                                if (c4['category'] == 'personality'):
                                    data[c4['id']] = c4['percentage']
                                    if 'children' not in c3:
                                        if (c3['category'] == 'personality'):
                                            data[c3['id']] == c3['percentage']
                                            return data
def compare(dict1, dict2):
    compared_data = {}
    for keys in dict1:
        if dict1[keys] != dict2[keys]:
            compared_data[keys] = abs(dict1[keys] -
                                     dict2[keys])
            return data
          
user_handle = ""@tim_cook""
celebrity_handle = ""@pschiller""

user_result = analyze(user_handle)
celebrity_result = analyze(celebrity_handle)

user = flatten(user_result)
celebrity = flatten(celebrity_result)

compared_results = compare(user, celebrity)

sorted_result = sorted(compared_results.items(), key=operator.itemgetter(1))

for keys, value in sorted_result[:5]:
    print (keys),
    print(user[keys]),
    print ('->'),
    print (celebrity[keys]),
    print ('->'),
    print (compared_results[keys])

","
This topic was automatically closed 7 days after the last reply. New replies are no longer allowed.
"
8,Understanding Twitter Results 1,"Get Help,IBM Watson",,2,"
Traceback (most recent call last):
File “CelebrityMatch.py”, line 20, in 
statuses = twitter_api.GetUserTimeline(screen_name = handle, count = 200, include_rts = False)
File “/usr/local/lib/python2.7/dist-packages/twitter/api.py”, line 799, in GetUserTimeline
data = self._ParseAndCheckTwitter(resp.content.decode(‘utf-8’))
File “/usr/local/lib/python2.7/dist-packages/twitter/api.py”, line 4894, in _ParseAndCheckTwitter
self._CheckForTwitterError(data)
File “/usr/local/lib/python2.7/dist-packages/twitter/api.py”, line 4914, in _CheckForTwitterError
raise TwitterError(data[‘errors’])
twitter.error.TwitterError: [{u’message’: u’Could not authenticate you.’, u’code’: 32}]
Error occurring while  running my code
","
This topic was automatically closed 7 days after the last reply. New replies are no longer allowed.
"
9,7. Sorting and Outputting the Results,"Get Help,IBM Watson",,3,"
I have passed this course but I keep getting an error, I would like to see this course through. Can anyone help me identify what I’ve done wrong in the code?
https://www.codecademy.com/en/courses/ibm-watson/lessons/pi-insights/exercises/display
import sys
import operator
import requests
import json
import twitter
from watson_developer_cloud import PersonalityInsightsV2 as PersonalityInsights
def analyze(handle):
twitter_consumer_key = '*****'
twitter_consumer_secret = '******'
twitter_access_token = '*******''
twitter_access_secret = '*****'

twitter_api = twitter.Api(consumer_key=twitter_consumer_key,
              consumer_secret=twitter_consumer_secret,
              access_token_key=twitter_access_token,
              access_token_secret=twitter_access_secret)


statuses = twitter_api.GetUserTimeline(screen_name=handle, count=200, include_rts=False)

text = “”
for s in statuses:
if (s.lang ==‘en’):
text += s.text.encode(‘utf-8’)
pi_username = ‘:@hotmail.com’
pi_password = '*’
personality_insights = PersonalityInsights(username=pi_username, password=pi_password)
pi_result = personality_insights.profile(text)
return pi_result

def flatten(orig):
data = {}
for c in orig[‘tree’][‘children’]:
if ‘children’ in c:
for c2 in c[‘children’]:
if ‘children’ in c2:
for c3 in c2[‘children’]:
if ‘children’ in c3:
for c4 in c3[‘children’]:
if (c4[‘category’] == ‘personality’):
data[c4[‘id’]] = c4[‘percentage’]
if ‘children’ not in c3:
if (c3[‘category’] == ‘personality’):
data[c3[‘id’]] = c3[‘percentage’]
return data
def compare(dict1, dict2):
compared_data = {}
for keys in dict1:
if dict1[keys] != dict2[keys]:
compared_data[keys] = abs(dict1[keys] - dict2[keys])
return compared_data
user_handle = “@Codecademy”
celebrity_handle = “@IBM”
user_result = analyze(user_handle)
celebrity_result = analyze(celebrity_handle)
user = flatten(user_result)
celebrity = flatten(celebrity_result)
compared_results = compare(user,celebrity)
sorted_result = sorted(compared_results.items(), key=operator.itemgetter(1))
for keys, value in sorted_result[:5]:
print keys,
print(user[keys]),
print (’->’),
print (celebrity[keys]),
print (’->’),
print (compared_results[keys])
","
I also get a non-result at the end of the course.
“Line 61    print (compared_results[keys])” returns below “Error: The number of words 57 is less than the minimum number of words required for analysis: 100, Code: 400”
Comparing different pairs of celebrities, e.g., {@scars008 ∩ @halleberry} returns the same error of “number of words 57 is less than the minimum”
So I reported a bug, on the basis the compare analysis seems to run, albeit not meeting with success. Anyway the error pasted in full:
Traceback (most recent call last):
File “CelebrityMatch.py”, line 41, in 
pi_result=personality_insights.profile(text)
File “/usr/local/lib/python2.7/dist-packages/watson_developer_cloud/personality_insights_v2.py”, line 61, in profile
headers=headers)
File “/usr/local/lib/python2.7/dist-packages/watson_developer_cloud/watson_developer_cloud_service.py”, line 324, in request
raise WatsonException(error_message)
watson_developer_cloud.watson_developer_cloud_service.WatsonException: Error: The number of words 57 is less than the minimum number of words required for analysis: 100, Code: 400

This topic was automatically closed 7 days after the last reply. New replies are no longer allowed.
"
