,Title,Categories,Tags,Replies,Post,Comment
0,[README] Learn ReactJS,"FAQ,React.js",,2,"
Welcome to Learn ReactJS Part I & Part II

React.js is an efficient and flexible JavaScript library for building user interfaces. This forum category covers broader discussion about React.js related topics.
The courses contains the following Sections/Lessons:

JSX

Intro to JSX
Advanced JSX


React Components

Your First React Component
Components and Advanced JSX


Components Interacting

Components Render Other Components
this.props
this.state





Stateless Components From Stateful Components

Stateless Components From Stateful Components
Child Components Update Their Parents’ state
Child Components Update Their Siblings’ props


Advanced React

Style
Container Components From Presentational Components
Stateless Functional Components
PropTypes
React Forms


Lifecycle Methods

Mounting Lifecycle Methods
Updating/Unmounting Lifecycle Methods




Topics in this course, By section:

JSX
React Components
Components Interacting



Stateless Components From Stateful Components
Advanced React
Lifecycle Methods

Projects in React JS

All Project topics belong in the category #project
FAQ’s
View all
Q & A’s
View all
More resources from Codecademy
Module Key Concepts

JSX
React Components
Components Interacting



Stateless Components From Stateful Components
Advanced React
Lifecycle Methods

Articles:

Creating a React App
React: The Virtual DOM

","
"
1,Ravenous Part 1 TypeError,"FAQ,React.js",,5,"
Hello all currently working through the Ravenous project.
https://www.codecademy.com/paths/web-development/tracks/front-end-applications-with-react/modules/react-development-setup-and-ravenous-part-1/projects/create-prj-components
I keep getting this error when I try and open using npm start.
TypeError: Class extends value undefined is not a constructor or null

Module../src/components/App/App.js

C:/Users/dan_g/OneDrive/Documents/Codecademy/ravenous/src/components/App/App.js:6

  3 | import SearchBar from '../SearchBar/SearchBar';  4 | import BusinessList from '../BusinessList/BusinessList';  5 | > 6 | class App extends React.Component() {  7 |   render(){  8 |     return (  9 |       <div className=""App"">

not too sure how to fix this. Any help will be appreciated!
","
This is my code in App.js:
import React from ‘react’;
import ‘./App.css’;
import SearchBar from ‘…/SearchBar/SearchBar’;
import BusinessList from ‘…/BusinessList/BusinessList’;
class App extends React.Component() {
render(){
return (

  <div className=""App"">

    <h1>ravenous</h1>

    <SearchBar />

    <BusinessList /> 

  </div>

);

}
}
export default App;

React.Component is a class, so no parentheses are needed.
class MyComponent extends React.Component

■■■■. I was searching for so long and knew what line it was but just couldn’t see it.
Just needs an extra pair of eyes. Appreciate it!

Sometimes the obvious things are the hardest to spot…
"
2,Jamming - my search button is not working - invalid redirect URI,"FAQ,React.js",react-components,6,"
Hi everyone! My search button is not working! I am at step 95  of the Jamming project and realised that I did not include an “onClick” attribute to the button but then when I click on search it gives an error “INVALID_CLIENT: Invalid redirect URI”
What should I do?
Thanks in advance !
P.S. anyone else noticed that in the video the instructor did not put an onClick attribute to the button and yet it worked? How is that possible?
","

Can you copy in some of your code so we can see?
Did you make sure to put the redirectUri in to the Spotify Dashboard?
Did you ensure to put the redirectUri in to the code? (A user recently had the same problem and hadn’t done this).


Hi there!! Thank you so much for replying! After reading your comment I check the name of my redictUri on Spotify and realised that I had a type error in the name   also I had an type error in the window.setTimeout method! That’s what I get for not copy pasting code…!!Now everything is working fine! I will try to deploy it now…hopefully it will work!

Good to hear you found out. Some time you just need to comb through your code to find these errors. It can often be an infuriating experience!

Yes I know! Now I have another problem! I did the surge step and even though I changed (by copy pasting) the redirectUri both in the spotify dashboard and my Spotify.js there is an error again popping up for invalid redirectUri. I did a ‘surge teardown domain_name’ to take it down as it was not working. Then changed it back to my localhost URI and still not working when I click on the search button

If you copy your code I can look.
"
3,Ravenous part 1 - styling,"FAQ,React.js",general,3,"
Hello, I’m on the ravenous (app part 1) link to exercise  and whenever I run the app the css styling on the Business images looks off. The images are too large and don’t fit within the container. Other elements within the same div render appropriately. Please help
//Business.js
import React from 'react';
import './Business.css';

const business = {
    imageSrc: 'https://s3.amazonaws.com/codecademy-content/programs/react/ravenous/pizza.jpg',
    name: 'MarginOtto Pizzeria',
    address: '1010 Paddington Way',
    city: 'Flavortown',
    state: 'NY',
    zipCode: '10101',
    category: 'Italian',
    rating: 4.5,
    reviewCount: 90
}

class Business extends React.Component {
    render() {
        return (
            <div className=""Business"">
                <div className=""image-container"">
                    <img src={business.imageSrc} alt=''/>
                </div>
                    <h2>{business.name}</h2>
                <div className=""Business-information"">
                    <div className=""Business-address"">
                        <p>{business.address}</p>
                        <p>{business.city}</p>
                        <p>{`${business.state} ${business.zipCode}`}</p>
                    </div>
                    <div className=""Business-reviews"">
                        <h3>{business.category}</h3>
                        <h3 className=""rating"">{business.rating} stars</h3>
                        <p>${business.reviewCount} reviews</p>
                    </div>
                </div>
            </div>
        )
    }
}

export default Business;


and
//Business.css
.Business {
  display: flex;
  flex-direction: column;
  justify-content: space-between;
  width: 16.66rem;
  margin: 0 .5rem 2.3rem .5rem;
}

.Business .image-container {
  height: 16.66rem;
  margin-bottom: 1rem;
}

.Business h2 {
  margin-bottom: .5rem;
  font-size: 1.2rem;
  font-weight: 600;
}

.Business-information {
  display: flex;
  justify-content: space-between;
}

.Business-information p {
  font-size: .88rem;
  font-weight: 300;
  line-height: 1rem;
}

.Business-address {
  display: flex;
  flex-direction: column;
  justify-content: space-between;
}

.Business-reviews {
  display: flex;
  flex-direction: column;
  justify-content: space-between;
  text-align: right;
}

.Business-reviews h3 {
  color: #CCA353;
  font-weight: 600;
}

.Business-reviews .rating {
  font-size: .88rem;
  line-height: 1rem;
}

","
Hello @giga3072569673, welcome to the forums! Could you please post your code, as we can’t see the code you have written when we follow the link.

hello @giga3072569673 I had very similar issues when I finished the ravenous part 1, all my styling was off  and I couldn’t figure out where was the problem. What I did is I copied all the given css again and pasted in my css files. I found out my App.css was wrong and that sorted the problem of the entire project.
But i see some issues with your code that i’m not sure if it’s related:
<p>{`${business.state} ${business.zipCode}`}</p>

<p>${business.reviewCount} reviews</p>

You don need to put placeholders cause you are writting directly on a <p>.
try to change to:
<p>{business.state} {business.zipCode}</p>

<p>{business.reviewCount} reviews</p>

I hope that helps!
"
4,Jamming - Feature Reqeust: Playlist Edit,"FAQ,React.js",general,1,"
Has anyone successfully implemented the ability to fetch a users playlist and use the Spotify Change a Playlist’s Details PUT request?
I am successfully retrieving playlist details.
However, I am having an issue of the PUT request being sent (to change the playlist title), but returning a 403 Forbidden message, despite re-issuing an access-token with the correct permissions granted on login.
This is  the code, if some one could look at it with fresh eyes -
 savePlaylist(playlistName, uriArray, userId,  playlistId) {

        if (!playlistName || !uriArray) {
          return;
        }

        const accessToken = Spotify.getAccessToken();
        const headers = {
            Authorization: `Bearer ${accessToken}`
        };

        //Check for existing playlist id. If True, change playlist details (title).
        if (playlistId) {
            console.log(userId);
            console.log(playlistId);
            return fetch(`https://api.spotify.com/v1/playlists/${playlistId}`, {
                headers: headers,
                method: 'PUT',
                body: JSON.stringify( {name: playlistName })
            });
        }

        return fetch(`https://api.spotify.com/v1/users/${userId}/playlists`, {
            headers: headers,
            method: 'POST',
            body: JSON.stringify( {name: playlistName })
        })
        .then(response => response.json())
        .then(jsonResponse => {
            const playlistId = jsonResponse.id;

            return fetch(`https://api.spotify.com/v1/users/${userId}/playlists/${playlistId}/tracks`, {
                headers: headers,
                method: 'POST',
                body: JSON.stringify({ uris: uriArray })
            });
        });
    },

Thanks in advanced!
",
5,Jamming Task 95,"FAQ,React.js",general,6,"
https://www.codecademy.com/paths/web-development/tracks/front-end-applications-with-react/modules/jammming/projects/jammming-prj
Hello, Can someone help me with this, when I put the name in the search bar on the page, nothing populates in the result tab and also this is what I get when I open the console:

Screen Shot 2020-01-16 at 10.58.19 PM1580×638 43 KB

App.js
import React from ""react"";
import ""./App.css"";

import SearchBar from ""../SearchBar/SearchBar"";
import SearchResults from ""../SearchResults/SearchResults"";
import Playlist from ""../Playlist/Playlist"";

import Spotify from ""../../util/Spotify"";

class App extends React.Component {
  constructor(props) {
    super(props);

    this.state = {
      searchResults: [],
      playlistName: ""My Playlist"",
      playlistTracks: []
    };
    this.addTrack = this.addTrack.bind(this);
    this.removeTrack = this.removeTrack.bind(this);
    this.updatePlaylistName = this.updatePlaylistName.bind(this);
    this.savePlaylist = this.savePlaylist.bind(this);
    this.search = this.search.bind(this);
  }

  addTrack(track) {
    let tracks = this.state.playlistTracks;
    if (tracks.find(savedTrack => savedTrack.id === track.id)) {
      return;
    }

    tracks.push(track);
    this.setState({ playlistTracks: tracks });
  }

  removeTrack(track) {
    let tracks = this.state.playlistTracks;
    tracks = tracks.filter(currentTrack => currentTrack.id !== track.id);

    this.setState({ playlistTracks: tracks });
  }

  updatePlaylistName(name) {
    this.setState({ playlistName: name });
  }

  savePlaylist() {
    const trackUris = this.state.playlistTracks.map(track => track.uri);
    Spotify.savePlaylist(this.state.playlistName, trackUris).then(() => {
      this.setState({
        playlistName: ""New Playlist"",
        playlistTracks: []
      });
    });
  }

  search(term) {
    Spotify.search(term).then(searchResults => {
      this.setState({ searchResults: searchResults });
    });
  }

  render() {
    return (
      <div>
        <h1>
          Ja<span className=""highlight"">mmm</span>ing
        </h1>
        <div className=""App"">
          <SearchBar onSearch={this.search} />
          <div className=""App-playlist"">
            <SearchResults
              searchResults={this.state.searchResults}
              onAdd={this.addTrack}
            />
            <Playlist
              playlistName={this.state.playlistName}
              playlistTracks={this.state.playlistTracks}
              onRemove={this.removeTrack}
              onNameChange={this.updatePlaylistName}
              onSave={this.savePlaylist}
            />
          </div>
        </div>
      </div>
    );
  }
}

export default App;

Spotify.js

const clientId = """";
const redirectUri = """";

let accessToken;

const Spotify = {
  getAccessToken() {
    if (accessToken) {
      return accessToken;
    }

    // Check for access token match

    const accessTokenMatch = window.location.href.match(/access_token=([^&]*)/);
    const expiresInMatch = window.location.href.match(/expires_in=([^&]*)/);

    if (accessTokenMatch && expiresInMatch) {
      accessToken = accessTokenMatch[1];
      const expiresIn = Number(expiresInMatch[1]);

      // This clears the parameters, allowing us tp grab a new access token when it expires.

      window.setTimeout(() => (accessToken = """"), expiresIn * 1000);
      window.history.pushState(""Access Token"", null, ""/"");
      return accessToken;
    } else {
      const accessUrl = `https://accounts.spotify.com/authorize?client_id=${clientId}&response_type=token&scope=playlist-modify-public&redirect_uri=${redirectUri}`;
      window.location = accessUrl;
    }
  },

  search(term) {
    const accessToken = Spotify.getAccessToken();
    return fetch(`https://api.spotify.com/v1/search?type=track&q=${term}`, {
      headers: { Authorization: `Bearer ${accessToken}` }
    })
      .then(response => {
        return response.json();
      })
      .then(jsonResponse => {
        if (!jsonResponse.tracks) {
          return [];
        }
        return jsonResponse.tracks.items.map(track => ({
          id: track.id,
          name: track.name,
          artist: track.artists[0].name,
          album: track.album.name,
          uri: track.uri
        }));
      });
  },
  savePlalist(name, trackUris) {
    if (!name || !trackUris.length) {
      return;
    }

    const accessToken = Spotify.getAccessToken();
    const headers = { Authorization: `Bearer ${accessToken}` };
    let userId;

    return fetch(""https://api.spotify.com/v1/me"", { headers: headers })
      .then(response => response.json())
      .then(jsonResponse => {
        userId = jsonResponse.id;
        return fetch(`https://api.spotify.com/v1/users/${userId}/playlists`, {
          headers: headers,
          method: ""POST"",
          body: JSON.stringify({ name: name })
        })
          .then(response => response.json())
          .then(jsonResponse => {
            const playlistId = jsonResponse.id;
            return fetch(
              `https://api.spotify.com/v1/users/${userId}/playlists/${playlistId}/tracks`,
              {
                headers: headers,
                method: ""POST"",
                body: JSON.stringify({ uris: trackUris })
              }
            );
          });
      });
  }
};

export default Spotify;


I’m trying to figure out if this has to do with the warning message on my window console. I tried to reset the hot module replacement with react and give up since I did not what I was doing. it may take sometime to figure out. Any idea in how to solve it would be appreciated.
Thank you
","
Never mind folks. I forgot to update the button with the “onClick” attribute.
Thank you

Which step was this said at?

I’m having a similar issue.  No where in the project did it say to add onClick to the button ( guess it’s a given???) but I’m trying to understand why we have an onChange and an onClick for the same search?  My Search button isn’t giving me an error but it seems to be searching “object” which is somehow being passed in as my argument when the Search button is clicked.  onChange works fine, you type something in and it immediately has the results.  I tried adding term.replace(’ ‘,’%20’)   (because spotify needs spaces replaced with %20) in my search() method in the Spotify.js but that just gives me an error of “term.replace() is not a function”.  So I seemed to have traced the issue to step 69 in the project where it asks you to “pass the state of term to this.props.onSearch”.  I’m passing the searchResults in as an object and that’s all it sees when I try to use term.replace(’ ', ‘%20’)?  I’m not sure if any of this helps but that’s where I’ve traced my issue to.   Still haven’t resolved it though.




 matthansen2926362581:

I’m trying to understand why we have an onChange and an onClick for the same search?


The onChange attribute triggers the handleTermChange() in SearchBar.js, which sets this.state.term to the current search term (before the search is executed).
The onClick attribute triggers the search() method in SearchBar.js, which passes this.state.term (current search term) to this.props.onSearch, in turn triggering the search() method in App.js, in turn, triggering Spotify.search(), having passed the current search term down the chain.



 matthansen2926362581:

it seems to be searching “object”


Check that you are passing ‘this.state.term’ from SearchBar.js (not this.term).

Hi! I am having the same issue. What did you put in the “onClick” attribute for the button?
"
6,Jamming project-issue with adding songs to new playlist,"FAQ,React.js",react-components,14,"
Hi everyone!
I a struggling with step  45 - 47(see link: https://www.codecademy.com/paths/web-development/tracks/front-end-applications-with-react/modules/jammming/projects/jammming-prj).
In those steps, I am supposed to make the ‘+’ clickable so songs from results can be added in the new playlist. While I complete the step successfully, the text of the song title and artist disappears when the song is added to the playlist. !
I am including 3 pictures: 2 pics of my code and 1 pic of the outcome so you can understand the issue better.
Thank you in advance,
Eirini 
jamming-issue3.PNG1280×710 202 KB Jammin-issue2922×406 24.1 KB jamming-issue1185×386 29 KB
","
I’m not sure if Step 45 is done correctly from the given images. Is the .addTrack() method created in the Track component?

Yes! The .addTrack() method is created in the Track component!

Can you show me the whole Track.js?

import React from ‘react’;
import ‘./Track.css’;
class Track extends React.Component {
constructor(props) {

    super(props);

    this.addTrack = this.addTrack.bind(this);

    this.removeTrack = this.removeTrack.bind(this);

}

renderAction() {

        if (this.props.isRemoval) {

         return <button className=""Track-action"" onClick={this.removeTrack} >-</button>

        } else {

        return <button className=""Track-action"" onClick={this.addTrack}>+</button>

    }

        

}  

addTrack(){

    this.props.onAdd(this.props.track);

}

removeTrack() {

    this.props.onRemove(this.props.track)

}

render() {

    return(

    <div className=""Track"">

         <div className=""Track-information"">

            <h3>{this.props.track.name}</h3>

            <p>{this.props.track.artist} | {this.props.track.album} </p>

        </div>

        {this.renderAction()}

    </div>

    )

}

}
export default Track;

Thank you for your reply. I think steps 45-47 are done correctly. Then, if the problem still persists, it may be due to an earlier step. How was the .addTrack() method created in App.js?

This is my App.js:
import React from ‘react’;
import ‘./App.css’;
import SearchBar from ‘…/SearchBar/SearchBar’;
import SearchResults from ‘…/SearchResults/SearchResults’;
import Playlist from ‘…/Playlist/Playlist’;
import Spotify from ‘…/…/util/Spotify’;
class App extends React.Component{
constructor(props){
super(props);

this.state = {

  searchResults: [],

  playlistName: 'My Playlist',

  playlistTracks: []

};

this.addTrack = this.addTrack.bind(this);

this.removeTrack = this.removeTrack.bind(this);

this.updatePlaylistName = this.updatePlaylistName.bind(this);

this.savePlaylist = this.savePlaylist.bind(this);

this.search = this.search.bind(this);

}
addTrack(track){
let tracks=this.state.playlistTracks;

if(tracks.find(savedTrack => savedTrack.id === track.id)){

  return;

} 

  tracks.push(tracks);

  this.setState({playlistTracks: tracks});

}
removeTrack(track){
let tracks=this.state.playlistTracks;

tracks = tracks.filter(currentTrack => currentTrack.id !== track.id);

this.setState({ playlistTracks: tracks });

}
updatePlaylistName(name){
this.setState({ playlistName: name });

}
savePlaylist(){
const trackUris = this.state.playlistTracks.map(track => track.uri);
Spotify.savePlaylist(this.state.playlistName, trackUris).then(() => {
this.setState({

  playlistName: 'New Playlist',

  playlistTracks: []

})

})
}
search(term) {
Spotify.search(term).then(searchResults => {
this.setState({searchResults: searchResults})

})
}
render(){
return (

  <div>

    <h1>Ja<span className=""highlight"">mmm</span>ing</h1>

    <div className=""App"">

      <SearchBar onSearch={this.search} />

      <div className=""App-playlist"">

        <SearchResults SearchResults={this.state.searchResults} onAdd={this.addTrack} /> 

        <Playlist playlistName={this.state.playlistName} playlistTracks={this.state.playlistTracks}

        onRemove={this.removeTrack} onNameChange={this.updatePlaylistName} 

        onSave={this.savePlaylist}/> 

      </div>

    </div>

  </div>

)

}
}
export default App;




 py1735647579:

tracks.push(tracks);


This line may be the cause. What if you change it as follows?
tracks.push(track);


Now I cant see the results of any change I make because it throws another error :
“INVALID_CLIENT: Invalid redirect URI”
so now every time I refresh it shows the above message…

It seems that you are doing steps ahead. I think it’s an error related to Spotify.js. I don’t know much more than that, but when I searched for INVALID_CLIENT in this forum, I found some related topics. One of them is this:




Jammming Project - INVALID_CLIENT: Invalid redirect URI error after deploying with Surge React.js


    Hi guys, I’m on step 99 in the Jammming project. After I updated redirectUri, edited settings in Spotify developer account and deployed the app, I get this error when I enter a search term: 
INVALID_CLIENT: Invalid redirect URI 
Here’s my Spotify.js code 
const clientId = 'my client id here';
const redirectUri = 'http://jumpy-vase.surge.sh'; 

let accessToken;

const Spotify = {
    getAccessToken() {
      if (accessToken) {
        return accessToken;
      }
  
      const accessTokenMatch = …
  



Thank you for giving me the link. I basically finished the Jamming project last night and errors keep showing up. Let’s see if I can fix it now with the new link that you sent me 
Thank you so much!

Hi again! So now I am having way more issues.
I am including pics
How i it possible that there are problems in files I did not even touch? Also, I do not understand what is wrong with the trackList. What the error points out is not very specific
Jammin-issue4857×884 35.9 KB

I’m not sure, but it’s probably not a problem with the TrackList component. The this.props.tracks might not have been passed correctly from its upstream (Playlist or SearchResults).
For example, in App.js you are passing this.state.searchResults by SearchResults={this.state.searchResults} (where the first S is uppercase) to SearchResults component:
<SearchResults SearchResults={this.state.searchResults} onAdd={this.addTrack} />

In SearchResults.js, if you passed this to TrackList by tracks={this.props.searchResults} (where s is lowercase) like the following, it is mismatch.
<TrackList tracks={this.props.searchResults} onAdd={this.props.onAdd} isRemoval={false} />

Another thing that might come up is a mismatch between track and tracks.

Aaahh Thanks for this! It worked!
"
7,Jamming Feature Request - Playlist Fetch,"FAQ,React.js",react-components,3,"
I am trying to retrieve Spotify Playlists.
I have the API up and running fine. But When I try to load it to state I get this error -
TypeError: util_Spotify__WEBPACK_IMPORTED_MODULE_6_.Spotify.getPlaylistList() is undefined
Here is the code-
In Spotify.js -
getPlaylistList() {
        accessToken = Spotify.getAccessToken();
        Spotify.getUserId()
        .then(userId => {
            return fetch(`https://api.spotify.com/v1/users/${userId}/playlists`, {
                headers: {
                    Authorization: `Bearer ${accessToken}`
                }
            });
        })
        .then(response => {
            const jsonResponse = response.json();
            console.log(jsonResponse);
            return jsonResponse;
        })
        .then(jsonResponse => {
            if (!jsonResponse.items) {
                return [];
            }

            console.log(jsonResponse.items);
            return jsonResponse.items.map(playlist => ({
                id: playlist.id,
                name: playlist.name
            }));
        });
    },

In App.js -
  getPlaylistList() {
    Spotify.getPlaylistList().then(playlist => {
      this.setState({
        playlistList: playlist
      })
    });
  }

....

  componentDidMount() {
    window.addEventListener('load', (event) => {
      this.getPlaylistList().then(playlistList => {
        this.setState({playlistList: playlistList});
      });
    });
  }

If I do a simple Spotify.getPlaylist() call, then console.log shows a good return. So it has something to do with setting the state… Any ideas? Loosing my mind!!
I might add that “this” is also bound to the new method.
","
Further investigation has found that it is not setState( ) that breaks the code, but simply attaching  a .then()… Why this is happening is well beyond my scope of understanding and I’m struggling to find similar cases on the web.

Problem solved. Although not understood.
Despite the error message and how it worked under certain conditions. The overall fault was in the way I was utilising my getUserId() method.
"
8,TypeError: Cannot read property 'then' of undefined,"FAQ,React.js",advanced-react,3,"
https://www.codecademy.com/paths/web-development/tracks/front-end-applications-with-react/modules/jammming/projects/jammming-prj
Hi all,
First comment I’m posting looking for help, so please let me know if I make any mistakes in these protocols as well. I’ve gone through the Jammming app with the video tutorial and I’m having trouble getting the search function to work. I’ve searched for other threads and tried their solutions but no luck. Mostly ‘map’ and ‘then’ are both returning as undefined as I try different bug fixes.

TypeError: Cannot read property ‘then’ of undefined

Can anyone see what I’m doing wrong? Thank you!
Here’s the code that keeps coming up buggy:
const Spotify = {
    
    search(term) {
        const accessToken = Spotify.getAccessToken();
        fetch(`https://api.spotify.com/v1/search?type=track&q=${term}`,
            { headers: { Authorization: `Bearer ${accessToken}` } }
        ).then(response => {
            return response.json();
        }).then(jsonResponse => {
            if (!jsonResponse.tracks) {
                return [];
            }
            return jsonResponse.tracks.item.map(track => {
                return {
                    id: track.id,
                    name: track.name,
                    artist: track.artist[0].name,
                    album: track.album.name,
                    uri: track.uri
                }
            }
            );
        }
        );
    },

import React from 'react';
import SearchBar from '../SearchBar/SearchBar';
import SearchResults from '../SearchResults/SearchResults';
import Playlist from '../Playlist/Playlist';
import Spotify from '../../Util/Spotify';

import './App.css';

class App extends React.Component {
  constructor(props) {
    super(props);
    this.state = {
      searchResults: [],
      playlistName: 'playlist1',
      playlistTracks: []
    };
    this.addTrack = this.addTrack.bind(this);
    this.removeTrack = this.removeTrack.bind(this);
    this.updatePlaylistName = this.updatePlaylistName.bind(this);
    this.savePlaylist = this.savePlaylist.bind(this);
    this.search = this.search.bind(this);
  }

  addTrack(track) {
    let tracks = this.state.playlistTracks;
    if (tracks.find(savedTrack => savedTrack.id === track.id)) {
      return;
    } else {
      tracks.push(track);
    }
    this.setState({playlistTracks: tracks});
  }

  removeTrack(track) {
    let tracks = this.state.playlistTracks;
    tracks = tracks.filter(currentTrack => currentTrack.id !== track.id);
    this.setState({ playlistTracks: tracks });
  }

  updatePlaylistName(name) {
    this.setState({ playlistName: name })
  }

  savePlaylist() {
    const trackUris = this.state.playlistTracks.map(track => track.uri);
    Spotify.savePlaylist(this.state.playlistName, trackUris).then(() => {
      this.setState({
        playlistName: 'New Playlist',
        playlistTracks: []
      })
    })
  }

  search(term) {
    Spotify.search(term).then(searchResults => {
      this.setState({searchResults: searchResults})
    });
  }

  render() {
    return (
      <div>
        <h1>Ja<span className=""highlight"">mmm</span>ing</h1>
        <div className=""App"">
          <SearchBar onSearch={this.search} />
          <div className=""App-playlist"">
            <SearchResults searchResults={this.state.searchResults} 
            onAdd={this.addTrack} />
            <Playlist playlistName={this.state.playlistName} 
            playlistTracks={this.state.playlistTracks} 
            onRemove={this.removeTrack} 
            onNameChange={this.updatePlaylistName}
            onSave={this.savePlaylist} />
          </div>
        </div>
      </div>
    )
  }
}

export default App;


","
Look at this thread;




Jammming: Unhandled Rejection (TypeError): Cannot read property '0' of undefined React.js


    Finishing up the Jammming project and typed in a search and the following showed up: 
{{ Unhandled Rejection (TypeError): Cannot read property ‘0’ of undefined 
(anonymous function) 
src/util/Spotify.js:44 
  41 | return jsonResponse.tracks.items.map(track => ({  42 |   id: track.id,  43 |   name: track.name,> 44 |   artist: track.artist[0].name,     | ^  45 |   album: track.album.name,  46 |   uri: track.uri  47 | }));

View compiled 
(anonymous function) 
src/util/Spotify.js:41 
  38 | if (!js…
  

track.artists[0].name
Spotify returns an array for artist with an 's’
Your code has it as artist[0]
image482×542 83.8 KB

First implement @nessie2015 fix then consider -



 philipdeng5267330872:

            return jsonResponse.tracks.item.map(track => {
                return {
                    id: track.id,
                    name: track.name,
                    artist: track.artist[0].name,
                    album: track.album.name,
                    uri: track.uri
                }
            }



You have two return statements here. You don’t need the second.
"
9,Jammming - illegal-redirectUri,"FAQ,React.js","advanced-react,general",3,"
I’ve Finished the jammming project but when I try to search, I get an illegal redirect_uri message in the browser
Spotify.js
const clientId ='';
const redirectUri = ''
let accessToken = '';

const Spotify = {
    getAccessToken(){
        if(this.accessToken){
            return accessToken;
        }
        const accessTokenMatch = window.location.href.match(/acces_token=([^&]*)/);
        const expiresInMatch = window.location.href.match(/expires_in=([^&]*)/);

        if(accessTokenMatch && expiresInMatch){
            accessToken = accessTokenMatch[1];
            const expiresIn = Number(expiresInMatch[1]);

            window.setTimeout(() => accessToken = '', expiresIn * 1000);
            window.history.pushState('Access Token', null, '/');
            return accessToken;
        } else {

            const accessUrl = `https://accounts.spotify.com/authorize?client_id=${clientId}&response_type=token&scope=playlist-modify-public&redirect_uri=${redirectUri}`;

            window.location = accessUrl;
        }
    },
    search(term){
        const accessToken = Spotify.getAccessToken();
        return fetch(`https://api.spotify.com/v1/search?type=track&q=${term}`,{
            headers: {Authorization: `Bearer ${accessToken}`}
        }).then(response => {
            return response.json();
        }).then(jsonResponse => {
            if(!jsonResponse.tracks) {
                return [];
            }
            return jsonResponse.tracks.items.map(track => ({
                id: track.id,
                name: track.name,
                artist: track.artists[0].name,
                album: track.album.name,
                uri: track.uri


            }))
        })
    },
    savePlaylist(name, trackUris) {
        if (!name || !trackUris.length) {
            return;
        }

        const accessToken = Spotify.getAccessToken();
        const headers = { Authorization: `Bearer ${accessToken}` };
        let userId;

        return fetch(""https://api.spotify.com/v1/me"", { headers: headers })
            .then(response => response.json())
            .then(jsonResponse => {
                userId = jsonResponse.id;
                return fetch(`https://api.spotify.com/v1/users/${userId}/playlists`, {
                    headers: headers,
                    method: ""POST"",
                    body: JSON.stringify({ name: name })
                })
                    .then(response => response.json())
                    .then(jsonResponse => {
                        const playlistId = jsonResponse.id;
                        return fetch(
                            `https://api.spotify.com/v1/users/${userId}/playlists/${playlistId}/tracks`,
                            {
                                headers: headers,
                                method: ""POST"",
                                body: JSON.stringify({ uris: trackUris })
                            }
                        );
                    });
            });
    }
};


export default Spotify;

App.js
import React from 'react';
import SearchBar from ""../SearchBar/SearchBar"";
import SearchResults from ""../SearchResults/SearchResults"";
import Playlist from ""../Playlist/Playlist"";
import Spotify from ""../../util/Spotify"";
import './App.css';


class App extends React.Component{
    constructor(props) {
        super(props);

        this.state = {
            searchResults: [],
            playlistName: 'pinchila',
            playlistTracks: [{name: 'playname1', artist: 'playartist1', album: 'playalbum1', id: 5}]
        };
        this.addTrack = this.addTrack.bind(this);
        this.removeTrack = this.removeTrack.bind(this);
        this.updatePlaylistName = this.updatePlaylistName.bind(this);
        this.savePlaylist = this.savePlaylist.bind(this);
        this.search = this.search.bind(this);

    }
    addTrack(track){
        let tracks = this.state.playlistTracks;
        if (tracks.find(savedTrack => savedTrack.id === track.id)) {
            return;
        }

        tracks.push(track);
        this.setState({ playlistTrack: tracks });
    }
    removeTrack(track){
        let tracks = this.state.playlistTracks;
        tracks = tracks.splice((tracks.indexOf(track)),1);

        this.setState({ playlistTrack: tracks });
    }
    updatePlaylistName(name){
        this.setState({ playlistName: name })
    }
    savePlaylist() {
        const tracksUris = this.state.playlistTracks.map(track => track.uri);
        Spotify.savePlaylist(this.state.playlistName, tracksUris).then(() => {
            this.setState({
                playlistName: ""New Playlist"",
                playlistTracks: []
            });
        });

    }
    search(term){
        Spotify.search(term).then(searchResults =>{
            this.setState({ searchResults: searchResults })
        });
    }

    render() {
        return (
          <div>
              <h1>Ja<span className=""highlight"">mmm</span>ing</h1>
              <div className=""App"">
                  <SearchBar onSearch={this.search} />
                  <div className=""App-playlist"">
                      <SearchResults searchResults={this.state.searchResults} onAdd={this.addTrack} />
                      <Playlist playlistName={this.state.playlistName}
                                playlistTracks={this.state.playlistTracks}
                                onRemove={this.removeTrack}
                                onNameChange={this.updatePlaylistName}
                                onSave={this.savePlaylist}/>
                  </div>
              </div>
          </div>
        );
    }
}

export default App;

","
Yeah, I am having the same issue.

You haven’t set a redirect Uri…
const redirectUri = ' '

It is empty. Also missing a semi-colon.
"
