,Title,Categories,Tags,Replies,Post,Comment
0,[README] Introduction to jQuery,"Get Help,jQuery",,2,"
Welcome to Introduction to jQuery Pro

jQuery is a cross-platform JavaScript library designed to simplify the client-side scripting of HTML - it is the fastest and easiest way to add interactivity and animation to your website. This forum category covers broader discussion about jQuery related topics.
This course contains the following Sections/Lessons:

Introduction

jQuery Setup


Effects

Learn jQuery: Effects


Event Handlers

Mouse Events


Style Methods

Style Methods


Traversing the DOM

Traversing the DOM




Topics in this course, By section:

Introduction
Effects
Event Handlers
Style Methods
Traversing the DOM

Projects in jQuery

All Project topics belong in the category #project
FAQ’s
View all
Q & A’s
View all
More resources from Codecademy
Module Key Concepts

Introduction
Effects
Event Handlers
Style Methods
Traversing the DOM

Articles:

coming soon

","
"
1,Understanding jQuery function - Comment box,"Get Help,jQuery",,2,"
Hi guys
We are making a comment box using jquery, but we don’t quite understand the the code in detail. Can anyone of you please help us? I have marked what we find most difficult in bold.
I’m sorry that the code is so long, but I figured that it would be easier to get the connection and understand the code.

/* JQuery used for comment box functions
document ready function - Jquery detects that the page status is ready
code will ony run once page is ready for javascript code to execute
Jquery is a javascript library - simplifies the language and event handling
*/
class CommentBox{
constructor(username, comment){
this.username = username;
this.comment = comment;
}
}
// The preventDefault will prevent the default event from occuring. The preventDefault shares similar features to the return false in JavaScript
(document).ready(function(){
    ("".editor-header a"").click(function(e){
e.preventDefault();
**// We create a dialog box. **
var _val = (this).data(""role""),**
**_sizeValIn = parseInt((this).data(“size-val”) + 1),
_sizeValRe = parseInt((this).data(""size-val"") - 1),**
**_size = (this).data(“size”);
if(_size == “in-size”){
document.execCommand(_val, false, _sizeValIn + “px”);
} else{
document.execCommand(_val, false, _sizeValRe + “px”);
}
});
});
// Universal function to retrieve user Array from LocalStorage
var activeUser = JSON.parse(localStorage.getItem(‘activeUser’))
var username = activeUser.username
// Define comment
if(localStorage.getItem(‘comments’) == null) {
var comments = ;
} else {
var comments = JSON.parse(localStorage.getItem(‘comments’));
}
// below - pulls in html div’s - clarify how
$(document).ready(function(){
var text = (""#text""),
submit = (“input[type=‘submit’]”),
listComment = ("".listComments""),
loading = ("".loading""),
_data,
totalCom = ("".total-comment"");
$totalCom.text($("".listComments > div"").length);

$($submit).click(function(){
if($text.html() == “”){
alert(“Please write a comment!”);
$text.focus();
} else{
_data = $text.html();
return false;
}

});
});
$(document).ready(function(){
var text = (""#text""),
submit = (“input[type=‘submit’]”),
listComment = ("".listComments""),
loading = ("".loading""),
_data,
totalCom = ("".total-comment"");
totalCom.text(("".listComments > div"").length);
$($submit).click(function() {
  if ($text.html() == """") {
  
  $text.focus();
} else {
  _data = $text.html();
  comment = _data;

comment = new CommentBox(username, comment);
comments.push(comment);
localStorage.setItem(‘comments’, JSON.stringify(comments));
$loading.show().fadeOut(300);
$listComment.append("""" + _data + “”);
$text.html("""");
totalCom.text(("".listComments > div"").length);
return false;
}
// Show activeUsers previous comments on mainpage
});
var allcomments = JSON.parse(localStorage.getItem(‘comments’));
var user = JSON.parse(localStorage.getItem(‘activeUser’));
for(i=0; i < allcomments.length; i++){
if(user.username == allcomments[i].username) {
var listComment = ("".listComments"")
$loading.show().fadeOut(300);
$listComment.append("""" + allcomments[i].comment + “”);
$text.html("""");
}
}
});
","
To be honest, i also did not know about the details of this code. In fact, these terms are quite new to me. And students can get help from edubirdie reviews to write their task easily. So, if any one knows about this term then do share it with me also. I will be very thankful to you.
"
2,Feedster,"Get Help,jQuery",,4,"
Can someone tell me why my menu disappears almost instantly when i move my mouse (ie. how do i change my code to ensure that it’s clickable): also here is the project link (https://www.codecademy.com/courses/learn-jquery/projects/feedster?action=resume_content_item)
(document).ready(() => {
	(’.menu’).on(‘mouseenter’, () => {
('.nav-menu').show()
  })
  (’.menu’).on(‘mouseleave’, () => {
('.nav-menu').hide()
  })
  (’.btn’).on(‘mouseenter’, event => {
(event.currentTarget).addClass('.btn-hover')
  }).on('mouseenter', event => {
    (event.currentTarget).removeClass(’.btn-hover’)
})
('.postText').on('keyup', event => {
    let post = (event.currentTarget).val();
let remaining = 140 - post.length;
$(’.characters’).html(remaining);
if (remaining <= 0) {
  $('.wordcount').addClass('red')
} else {
   $('.wordcount').removeClass('red')
}

})
$(’.postText’).focus();
});
","
This code doesn’t look right.
Lets start by formatting your code correctly and adding a few $s!
$(document).ready(() =&gt; {
  $(’.menu’).on(‘mouseenter’, () =&gt; {
    $('.nav-menu').show()
  })
  $(’.menu’).on(‘mouseleave’, () =&gt; {
    $('.nav-menu').hide()
  })
  $(’.btn’).on(‘mouseenter’, event =&gt; {
    $(event.currentTarget).addClass('.btn-hover');
  });
  $(’.btn’).on('mouseenter', event =&gt; {
    $(event.currentTarget).removeClass(’.btn-hover’);
  });
  $('.postText').on('keyup', event =&gt; {
    let post = (event.currentTarget).val();
    let remaining = 140 - post.length;
    $(’.characters’).html(remaining);
    if (remaining <= 0) {
      $('.wordcount').addClass('red')
    } else {
       $('.wordcount').removeClass('red')
    }
  })
  $(’.postText’).focus();
});

I’ve added a few $s. You should also always end your statements with ;.
Next, near the beginning of the code, Jquery selects the class ‘menu’ and says on (when this happens) ‘mouseenter’ (the mouse enters the element - the ‘menu’ text). So if you want to show the nav-menu class on click, you will need to change mouseenter to click.
But if you change both mouseenter and mouseleave to click, each time you click on .menu, .nav-menu will show and then immediately hide. So you will need to remove the on mouseleave block ($(’.menu’).on(‘mouseleave’, () =&gt; { $('.nav-menu').hide() })) and change mouseenter to click. Then, in your new click block, you will need to check if it is currently visible or hidden. (Can you figure out how to do this?  )  Then, if it is currently hidden, show it, and if it’s shown, hide it.

i also use $(post).focus();

Can someone tell what is wrong here :
$(document).ready(() => {
$(’.menu’).on(‘mouseenter’, () => {
$('.nav-menu').show(""slow"")

});
$(’.menu’).on(‘mouseleave’, () => {
$('.nav-menu').hide(100)

});
$(’.btn’).on(‘mouseenter’, event => {
$(event.currentTarget).addClass('.btn-hover').on('mouseleave', event => {

$(event.currentTarget).removeClass('.btn-hover');

});
});
$(’.postText’).on(‘keyup’, event => {
let post = $(event.currentTarget).val();
let remaining = 140 - post.lenght;
if(remaining<=0) {
 $('.wordcount').addClass('.red');

} else {
 $('.wordcount').removeClass('.red');

}
$(’.characters’).html(remaining);
});
$(’.postText’).focus();
});
I’ve gone over the code step by step with the video tutorial and it still doesn’t work. The part with remaining characters is somehow wrong, but I don’t see it.
When I start typing the text in the message box, the number of characters disappears and it doesn’t turn red when the number of characters goes over 140.
"
3,Https://www.codecademy.com/courses/learn-jquery/projects/gameboard,"Get Help,jQuery",general,1,"
When you ask a question, don’t forget to include a link to the exercise or project you’re dealing with!
If you want to have the best chances of getting a useful answer quickly, make sure you follow our guidelines about how to ask a good question.  That way you’ll be helping everyone – helping people to answer your question and helping others who are stuck to find the question and answer! 
https://www.codecademy.com/courses/learn-jquery/projects/gameboard
Code:-
var main = function() {
$(’.more-btn’).on(‘click’, (event) => {
$(event.currentTarget).siblings('.more-menu').toggle();

});
$(’.share’).on(‘click’, (event) => {
$(event.currentTarget).next().toggle();

})
};
$(document).ready(main);
probelm :
I am facing a problem with this tutorial even after following the video I am still stuck can anyone please help me the share button doesn’t work even after?
and after clicking the more button the page scrolls to the top to take the effect which is unnecessary
",
4,@ { and @* what are these doing? I have never seen this in code before,"Get Help,jQuery",introduction-jquery,1,"
Hi Codecademy Fam,
I am working on some break and fix projects at work. I am seeing the @ symbol before the { symbol and also I see the @* symbols before the  tag.
What is the @ and @* doing here?
See the code below.
@{
string cndUrl = “https://d16mlsnlscorep.cloudfront.net/prod”;
}
@*<script src=""https://ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js""></script>*@
@*<script src=""https://code.jquery.com/jquery-3.3.1.min.js"" integrity=""sha384-tsQFqpEReu7ZLhBV2VZlAu7zcOV+rXbYlF2cqB8txI/8aZajjp4Bqd+V6D5IgvKT"" crossorigin=""anonymous"">
    </script>*@
@*<script src=""~/js/Layout/jTimeout.min.js""></script>*@
<script src=""~/js/Layout/JqueryLibrary.js""></script>
@*<script src=""https://code.jquery.com/jquery-2.2.4.js""
    integrity=""sha256-iT6Q9iMJYuQiMWNd9lDyBUStIq/8PuOW33aOqmvFpqI=""
    crossorigin=""anonymous""></script>*@
<script src=""https://github.com/inexorabletash/polyfill/blob/master/typedarray.js""></script>
@*<script src=""https://code.jquery.com/jquery-migrate-3.1.0.js""></script>*@
@*<script src=""https://ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js""></script>*@
@*<script src=""~/js/CustomTimeOut.js""></script>*@
",
5,J Query file won't work in HTML file,"Get Help,jQuery",introduction-jquery,13,"
How come when I run this html file in a browser the jquery link that I included doesn’t display a table like this when it runs? The only thing that shows is “THIS IS MY DISPLAY TITLE”!
<!DOCTYPE html>

<html>
    <head>
        <title> All Html Tags</title>
        <meta name=""description"" content=""Free Web Tutorials"">
        <meta name=""keywords"" content=""HTML,CSS,XML,Javascript"">
        <meta name=""author"" content=""John Doe"">
        <meta name=""viewport"" content=""width=device-width, inital-scale=1.0"">
        <link href=""https://fonts.googleapis.com/css?family=Lobster+Two&display=swap"" rel=""stylesheet"">
        </head>
        <body>
         <h1 style=""font-family: 'Lobster Two', cursive; text-transform: lowercase;"">THIS IS MY DISPLAY TITLE!!!
        </h1>
        <script
        src=""https://code.jquery.com/jquery-2.2.4.min.js""
        integrity=""sha256-BbhdlvQf/xTY9gja0Dq3HiwQF8LaCRTXxZKRutelT44=""
        crossorigin=""anonymous""></script> 


        </body>
    </html> 

","
Hello, @micro7894594922.
Welcome to the forums.
I don’t see anything in your HTML that would display a table. I copied your code into codepen.io, and it rendered:

which is what I expected.




 micro7894594922:



Hello Midlinder,
Thanks for your reply. Ok I added the following script from a Jquery library and it should display a table right?

JQuery.JPG716×401 23 KB


Are you expecting a table to be displayed in the browser’s developer tools pane or as part of the rendered page? Merely linking the jquery file in a <script></script> tag will not render anything to the page. It gives you access to the tools available in the jquery library.

Midlinder,
Thanks again for the reply and clarifying what linking the jquery file in a  tag won’t do. I was expecting the table to be apart of the rendered page.

what do you mean by table? Html has a <table> element, but i don’t think that is what you mean
what you show in the screenshot is the developers tool, is there something you expect to see there?

stetim94,
Thanks for the reply. I expected to see the developers tool on the browser. The instructor at school had us copy him and copy a jquery link to the html page, update and run it. This I was told would allow us to see developer tool at the bottom of the page as a result.

In the developers tool, you are currently in the network tab. There you can see the jquery file is fetched. If you switch to the elements tab, you should be able to see the <script> element in the html code

I’m using Chrome as the browser to run my html code and I don’t see a network tab. Should I change browsers to see the network tab/element tab? How do I switch to the elements tab? Once I see the script element in the html code and use it  will it  or will it not get me the developer tool in screenshot. Sorry for this as I’m new to HTML/CSS and Jquery.




 micro7894594922:

I’m using Chrome as the browser to run my html code and I don’t see a network tab.


how not? That that is the current active tab in your developer tools.



 micro7894594922:

How do I switch to the elements tab?


you highlighted that tab in your in screenshot:

image.png716×401 78.4 KB


The screenshot is what the instructor had on his screen. I didn’t create the same result with my laptop. I just took at picture of what he had.

Check out this link: https://developers.google.com/web/tools/chrome-devtools/open
It will give you several ways to open the developer tools in the chrome browser.

Midlinder,
Thank you very much.
"
6,jQuery issue,"Get Help,jQuery",general,3,"
beginning to learn jQuery and finally got to my first hiccup while testing my skills. So I want to add some interactivity to my web page by allowing the user to put text on the web page. I try this by using an input, paragraph, and button elements. I attempted to make this function work so that when they click the button element that the text inside the input would replace the text inside the paragraph, but this does not work for some reason. Any help would be appreciated.
html
<p class=""interactive""> sample text</p>
<input type=""text"" class=""inputText"">
<button class= ""changeText"">input text</button>

jQuery
let inputText = document.getElementsByClassName('inputText').textContent;

$('.changeText').click(function(){
$('.interactive').text(inputText);

})

","
solved it. this is what I did with my jQuery.
$('.changeText').click(function(){

const inputText = $("".inputText"").val()

const interactive = $('.interactive').text(inputText);

})


This topic was automatically closed 18 hours after the last reply. New replies are no longer allowed.
"
7,Web Safe Font Preview,"Get Help,jQuery",,3,"
Hi there, I completed this project, but unsure why my code is not displaying the desired output. Would be grateful if someone could please assist me
Link to project: https://www.codecademy.com/courses/learn-jquery/projects/font-preview?action=resume_content_item
Here is my code:
(document).ready(() => {
  (’#text’).on(‘keyup’, event => {
('.preview').html((event.currentTarget).val())
('#font').on('change', event => {
   (’.preview’).css({
fontFamily: (event.currentTarget).val() })
 })
    (’#weight’).on(‘change’, event => {
('.preview').css({
     fontWeight: (event.currentTarget).val()
})
})
('#size').on('change', event => {
       let fontSize = fontSize: (event.currentTarget).val() + ‘px’
$(’.preview’).css({
fontSize: fontSize
})
})
})
","



 ashibhat95:

(’#text’)


First, I think it should be (""#text"")  with single or double quotes instead of these backstics (used improerly also in + ‘px’).
Second, You must forgot about Dolla sign in a few spots.
Third,



 ashibhat95:

‘keyup’


Should be event with no quotes as first parameter, and then callback function as second parameter instead.
Also, replace .on() methods with diffrent methods.
Well, apparently You made the same mistake to all of Your .on() methods, as I can see.
Fourth, You closed rest of code inside first method parentheses, which is improper and then, You closed rest of code inside first callback function, which is improper too. Move last line })  on the next line after .val())
Fifth,



 ashibhat95:

(’#size’)


and



 ashibhat95:

(’#weight’)


should be (’#font-size’) and (’#font-weight’) instead. Pay attention to normal quotes instead of these weird backstics.
PS. Allways make sure to close all { }  ( ) and , ; properly. All coders know how annoying is to look into code for an hour just to find out missing character 
Also its a good habbit to keep spacing when nesting one thing inside other, press TAB or two spaces lets say. JS and jQuerry are forgiving for this in fact, so they will understand it regardless of ammount of whitespaces, but thats helps you and other programmers to read and find errors much easier.
I might be wrong myself as I am beginnier, it is just what I think so feel free to correct me if i am wrong. There also may be some other problems that i am not spotted yet.

I was wrong with some stuff in earlier comment. Now my code is correct:

$(document).ready(() => {
  $('#text').on('keyup', event => {
    $('.preview').html($(event.currentTarget).val());
  });
  
  $('#font').on('change', event => {
    $('.preview').css('fontFamily', $(event.currentTarget).val());
  });
  
  $('#weight').on('change', event => {
    $('.preview').css('fontWeight', $(event.currentTarget).val());
  });
  
  $('#size').on('keyup', event => {
    var fontSize = ($(event.currentTarget).val()) + 'px';
    $('.preview').css('fontSize', fontSize);
  });
  
})

"
8,Jquery .easing errors jQuery.easing[this.easing],"Get Help,jQuery",,1,"
I have done absolutely everything to try and fix my code:   JQuery libraries (Ui’s, Core’s, Plugins) .etc, but can’t fix this
        $(document).ready(function() {
            $('.heading').click(function() {
           		console.log(""Clicked"", $(this));
                $(this).animate({'color':'blue'},500,'easeOutBounce'); // example 1 , there not work and attempt error
               // $(this).animate({'color':'blue'},500,'leaner');  // example 2 , there not work BUT NOT attempt error
            });
        });


There is link for see console errors
",
9,Should I learn jQuery or react.js?,"Get Help,jQuery",,6,"
Which one should I learn. I’ve heard they both have practically the same uses.
","
Learn react.js . jQuery is slowly dying I think.

Ok! Thanks for the answer! I’ll learn react.js then.

Hello! You should just learn react.js instead.



Should I learn both JavaScript and CSS?


Jquery is declining in popularity because of several reasons (it was designed to solve a problem which no longer exist (cross browser support), which now happens in JS itself). Fetch and axios are popular alternatives for making asynchronous request.
for extensive DOM manipulation better libraries/frameworks now exist (vueJS, reactJS)


I hope this helps =)

Thanks also for your help too!

Always pick the right tool for the job. Jquery and reactJS aren’t quite that similar, reactJS is great for single page applications (SPA) while if your DOM manipulation is minimal, reactJS is overkill and you should just consider jquery/vanilla JS.
"
